GeneID	GSM2228986	GSM2228987	GSM2228988	GSM2228989	GSM2228990	GSM2228991	GSM2228992	GSM2228994	GSM2228995	GSM2228996	GSM2228997	GSM2228998	GSM2228999	GSM2229000
28570	0	0	0	0	0	0	0	0	0	0	0.08293	0	0	0
28569	0.1712	0.1185	0.02845	0	0.03154	0	0	0	0	0	0.02741	0.1269	0	0
28568	1.295	0.1195	0.08609	7.68	0.06363	0	0.1586	0	0.1734	0.03088	0.08293	0.256	0	0.2149
28567	0.6208	1.35	0.7662	0.1252	1.176	1.456	0	0.1036	0	0.03171	0.02839	0	0	0.05516
28566	0.08537	0	0.05673	0	0.1258	0.04832	0	0	0	0	0.05465	0	0	0
28565	0	0	0	0	0	0	0	0	0	0	0.08269	0	0	0
28564	0.3425	0.1975	0.1422	2.175	0.06308	0.04846	0	0	0	0	0	0	0	0
28563	0	0.03973	0.02861	0	0.3172	0	0	0.03354	0	0	0.02756	0	0	0.1071
100463482	0	0	0	1.623	0.01569	0.01205	0	0.01659	0	0	0.006817	0	0	0
28562	0.2591	0	0	0.9752	0.09545	0.04888	0	0	0	0	0	0.128	0	0
28556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28561	0	0	0	0	0.09545	0	0	0	0	0	0	0	0	0
28555	0	0	0	0	0	0	0	0	0	0	0	0	0	0
28560	0	0	0.0287	0	0.2545	0.04888	0	0	0	0.06176	0.02764	0	0.02848	0
28559	0.1727	0.1594	0.05739	0	0.4136	0.2933	0	0	0	0	0.1659	0	0	0.6446
5644	0.01964	0.01812	0.006525	0.02772	0.08681	0.02223	0	0.007647	0	0	0.05657	0	0.01295	0
28558	0.08868	0.08182	0.02947	0.1252	0.09802	0.1004	0	0.03454	0	0	0	0	0.05849	0
5645	0	0	0.01119	0	0.1117	0	0	0	0	0	0.02156	0	0	0
28637	0	2.284	3.291	0	13.68	15.42	0	0	0	0	1.585	1.835	0	0
28635	1.857	1.713	0.2057	1.747	2.052	0.3503	1.137	0.4821	1.243	0.2213	0	0.4587	0.2041	0
28634	8.665	1.713	0.8226	0	0.6841	0.3503	0	0.241	0	0	0	0.4587	0.2041	0
28633	4.159	0.5482	1.185	15.1	2.408	0.3363	1.091	0.4628	0	0	0	0	0	0
28632	3.495	0	0.5807	30.42	2.146	1.319	1.605	0.2269	0	0	0	0.4317	0.1921	0.7246
28631	1.783	0.5482	5.133	0	4.816	3.7	0.5455	0.6942	0	0	0.1902	0.8807	0	1.478
28630	0	0.7758	0.1863	0	1.239	0.9519	1.029	1.091	0	0.2004	0	0	0	0.3486
28639	3.846	3.883	4.315	0.8654	6.14	4.827	0.6141	1.476	0.5597	0.3388	0.3747	0.661	0.4044	0.7627
28636	0	0	0	0	3.42	0	0	0	0	0	0	0	0	0
28629	0.5942	0.8223	1.579	0	5.035	2.691	0	0.2314	0	0.2124	0	0	0	0
28628	0	0.2687	0.1936	0	0.6438	0	0.5348	0	0	0	0	0	0	0
28627	0	0.8938	1.288	0	2.855	2.193	0	0.2515	0	0	0	0	0	0.4017
28626	0	4.755	3.022	0	8.488	4.118	1.113	0.7083	0	0.4336	0.5822	0	0	0.7542
28625	1.188	0.2741	0.7897	0	2.189	1.682	0	0	0	0	0.1902	0	0	0
28624	0	0	0	0	1.14	0.3503	0	0	0	0	0.3962	0	0	0
28623	0	0.5172	0.3725	0	1.446	1.269	0	0	0	0	0.7177	0	0	0
28622	0	0	1.26	0	4.192	0.7156	0	0.4923	0	0.226	0	0	0.2084	0.3932
28638	3.35	3.724	3.303	8.526	8.477	6.124	0.8571	1.24	0.3308	0.3338	0.5098	0.6919	0.3803	0.9905
28557	0	0	0	0	0.1307	0.0502	0	0	0	0.03171	0.02839	0.06573	0.02924	0
105375541	0.03645	0.01051	0.003028	0.1351	0.0235	0.005158	0	0.001774	0.01373	0.001629	0.0248	0.003377	0.003005	0
2051	0.2144	0.6637	0.3974	1.163	0.582	0.3257	0.04662	0.03955	0.02266	0.07463	0.1264	0.05436	0.04093	0.09474
55503	0	0.0283	0.01699	0	0.02636	0.005787	0	0	0	0.01462	0.02291	0	0.003371	0
56302	0	0	0.003416	0	0.02651	0.005819	0	0	0	0.007351	0.02962	0	0.00339	0
105375542	0	0	0	0	0.04938	0.02529	0	0	0	0.01597	0.0572	0	0	0
105375543	0	0	0.008373	0	0.009283	0	0	0	0	0	0.0242	0	0	0
135927	0	0	0	0	0.06971	0.04284	0	0	0	0	0.06057	0	0	0
3792	0	0.0315	0.09452	0	0.02096	0.01288	0	0.02659	0.02285	0.04475	0.05099	0.1012	0.04502	0.01415
135924	0	0	0	0	0.01173	0.01802	0	0.0124	0.06395	0	0.03058	0	0.0105	0
105375544	0.01246	0	0.00828	0	0.01607	0.003526	0.02288	0.002426	0.1063	0.002227	0.04387	0.01385	0.004108	0.01162
346517	0.06308	0	0	0.04452	0.03486	0	0	0	0	0	0.05048	0	0	0
